231.28	456.68	222.0893	290.413
482.16	166.6	296.7435	73.8275
312.2	287	229.3617	178.4166
294	401.8	244.6235	246.084
256.2	289.8	199.019	192.4224
441	317.8	307.2781	166.8802
256.76	511.56	248.2453	315.0836
543	408	383.294	194.1846
547.4	379.4	379.4672	177.3795
243.6	266	186.7876	182.0193
182	564.2	218.5715	360.8284
463.5563	269.9012	309.4241	134.7246
513.046	145.5862	308.1692	55.6218
251.5356	233.7563	184.4384	162.6251
207.0667	255.3242	165.2314	184.2216
231.1701	552.5448	244.5133	341.6127
213.5724	510.2782	225.0436	322.5955
174.9425	278.9425	153.1871	203.6124
217.8759	341.9586	189.8705	229.5501
150.4046	411.6322	168.3432	282.1019
