150.6600	136.2339	172.0378	100.5999
302.7582	42.35890	264.9981	3.8042
261.2143	200.2216	259.7261	137.4289
307.4633	210.5348	293.9160	139.8119
291.1319	301.6209	296.8221	216.722
422.8067	399.1149	404.2161	278.3297
157.0311	317.7564	203.6337	245.8731
163.7363	221.3370	194.2919	167.271
199.3791	167.1282	210.7716	118.8317
410.3674	295.8944	380.3168	196.0073
379.9835	241.9029	351.2479	156.0324
56.32920	95.10620	99.56780	77.8644
436.0803	371.0268	408.5293	249.804
133.5643	105.6424	152.9725	75.2766
363.8074	409.2101	363.3388	296.1117
488.7591	424.4367	453.9157	286.4267
