97.7958	171.1606	168.0807	319.8855
194.9201	220.8858	270.244	340.1381
166.7698	268.8048	255.6644	390.1882
228.0034	290.6691	318.5393	392.5283
508.7384	436.9742	612.5969	452.1251
250.653	317.5127	345.8708	409.781
515	391.6667	604.7246	409.613
542.6667	388.3333	630.2191	400.1301
466.6667	419	568.2033	446.8264
71.6667	231.3333	159.5501	379.8255
74	164.3333	144.7869	320.1468
86.3333	182.6667	160.4595	333.3881
216.6667	301.3333	308.2893	405.0697
272	365	376.2472	448.7717
254.6667	349.6667	356.5567	438.343
433.6667	436.6667	541.486	472.7472
515.6667	377	603.8359	397.0202
483	295.6667	551.7051	333.2896
460.6667	310.6667	536.1866	351.3501
229.4521	282.8888	315.6442	384.5879
357.3333	454.6667	478.7852	507.4052
184	256	268.4175	374.0447
