264.6	294	145.2223	321.7985
299.6	242.2	167.6831	263.2649
279	326	166.2669	349.8601
257.6	131.6	102.4624	164.512
195	329	85.555	371.5933
243	139	89.9533	175.0508
270.2	204.4	130.8004	232.9062
252	335	142.0879	364.7045
391	321	273.8736	319.8463
236	45	62.3328	84.6414
262	77	94.625	110.0743
245	344	137.2974	375.0673
239	61	68.7872	99.6229
222	324	110.5897	360.6679
208	368	106.7738	406.786
264.7294	338.8798	155.2789	364.8709
270.1084	280.6266	148.6196	307.0845
268.5376	304.9941	153.0897	331.4696
177.9192	392.6148	84.85	435.5691
263.9212	269.4897	139.7087	297.7819
