153.664	356.72	261.9526	286.826
448.84	268.52	463.8055	253.7014
256.2	26.6	355.3152	78.2479
276.36	384.16	340.7342	315.2512
392	221.2	429.885	217.743
478.8	274.4	483.1861	260.1079
329	385	375.4313	320.2676
194.6	78.4	310.6147	107.2258
100.8	350	227.657	277.9476
413	74.2	455.273	122.6437
264.6	141.4	351.9163	154.5366
86.24	307.72	221.3581	248.9417
365	357	401.4088	304.8898
91	352	221.05	278.4349
473	520	460.1066	421.4234
393.4	170.8	434.7463	184.6756
424	359	440.2732	311.2091
197.4	144.2	307.3509	150.7608
315.1379	314.0368	371.5118	272.9141
465.708	297.9242	473.0361	275.5357
