282.8	222.6	171.3292	197.0451
263.2	273	164.8931	247.0807
235.2	133	108.2458	126.1073
283	223	171.5997	197.3647
200.2	47.6	57.5517	56.3122
204	176	89.6688	171.9152
381	237	263.4151	188.7387
261	98	123.7331	88.7529
131	280	46.9532	282.1915
365.6667	135	227.0256	100.5151
296	230.3333	184.3385	200.9283
165	283.6667	77.4172	277.9496
252.6667	184.3333	135.081	168.6226
183.6667	208.3333	78.0077	206.2459
148.3333	114.3333	25.1197	126.9492
327.3333	282.3333	223.0621	240.7163
365	425.6667	289.677	364.2863
263	463.6667	205.1873	420.3281
248.3333	155	124.8168	144.004
192.3333	232.3333	90.4036	224.681
